id;externe_id;is_actif;date_inscription;date_resiliation
f58a5a69-3616-43bc-bfc6-4eb9262bede1;a Lira a;true;2021-12-07;2021-12-07
af606d93-e0ec-46be-b8b4-b87ae5016b8f;e-markets;true;2021-12-07;2021-12-07
a8f64ab5-b28b-48cb-8582-972e92489e17;Grocery deposit;true;2021-12-07;2021-12-07
b94d7598-1245-444e-9cf7-56830d6adad7;web repurpose Tasty;true;2021-12-07;2021-12-07
54101bf9-adef-4299-b09e-daa6a377ee47;Tasty b;false;2021-12-07;2021-12-07
7f90e67d-bf9e-47a6-854b-fd88daef48cc;Borders Molière;true;2021-12-07;2021-12-07
ed70b80f-426a-409a-ba1d-a0002642075f;Île-de-France;true;2021-12-07;2021-12-07
5e2c8cd2-7ebe-4c31-901d-f13df6def745;e-markets Bedfordshire;false;2021-12-07;2021-12-07
7144cd8f-36f8-4911-81ce-7920ec1f935e;hacking overriding Cotton;true;2021-12-07;2021-12-07
3312e001-f48c-4a33-b710-032ee50617a7;Awesome;false;2021-12-07;2021-12-08
